title,name,staff_name,staff_gender,student_gender,release_date ,due_date,book_return_date,staff_name,contact_number,staff_mail,staff_password,staff_address,book_title,staff_name,student_number_of_copies,release_date,due_date,book_title,staff_name,student_number_of_copies,release_date,due_date,book_title,book_pubisher,book_author,book_copies,book_cost
when the sun goes down,isaac,Arou,male,male,01/01/2022,05/01/2022,08/01/2022,Arou,###############################################################################################################################################################################################################################################################,arou@gmai.com,Arou1,kampala,when the sun goes down,Arou,1,01/01/2022,05/01/2022,when the sun goes down,Arou,1,01/01/2022,05/01/2022,when the sun goes down,longhorn,waiyaki ngure,20,300
The river and the source,ian,munji,male,male,02/01/2022,06/01/2022,09/01/2022,munji,708613014,munji@gmail.com,munji2,kampala,The river and the source,munji,2,02/01/2022,06/01/2022,The river and the source,munji,2,02/01/2022,06/01/2022,The river and the source,kenyata foundation,magaret ogola,30,200
betraya in the city,brian,piok,female,female,03/01/2022,07/01/2022,10/01/2022,piok,708613015,piok@gmail.com,piok3,kampala,betrayal in the city,piok,3,03/01/2022,07/01/2022,betrayal in the city,piok,3,03/01/2022,07/01/2022,betrayal in the city,nyota,francis imbuga,21,400
kidagaa kimemwozea,james,Deng,male,male,04/01/2022,08/01/2022,11/01/2022,Deng,708613016,Deng@gmail.com,Deng4,kampala,kidagaa kimemwozea,Deng,4,04/01/2022,08/01/2022,kidagaa kimemwozea,Deng,4,04/01/2022,08/01/2022,kidagaa kimemwozea,nyota,ken walibora,22,500
kifo kisimani,joan,nabibrye,female,female,05/01/2022,09/01/2022,12/01/2022,nabibrye,708613017,nabibrye@gmail.com,nabibrye5,kampala,kifo kismiani,nabibrye,5,05/01/2022,09/01/2022,kifo kismiani,nabibrye,5,05/01/2022,09/01/2022,kifo kismiani,nyota,walah bin walah,23,600
tumbo lisiloshiba,jordan,micheal,male,male,06/01/2022,10/01/2022,13/01/2022,micheal,708613018,micheal@gmail.com,micheal6,kampala,tumbo lisiloshiba,micheal,6,06/01/2022,10/01/2022,tumbo lisiloshiba,micheal,6,06/01/2022,10/01/2022,tumbo lisiloshiba,east africa,husein abdul,24,700
A man of the peope,irving,kyrie,male,male,07/01/2022,11/01/2022,14/01/2022,kyrie,708613019,kyrie@gmail.com,kyrie7,kampala,siku njema,kyrie,7,07/01/2022,11/01/2022,siku njema,kyrie,7,07/01/2022,11/01/2022,siku njema,oxford,chinua achebe,25,900
siku njema,iverson,Allan,male,male,08/01/2022,12/01/2022,15/01/2022,Allan,708613010,Allan@gmail.com,Allan8,kampala,A man of the people,Allan,8,08/01/2022,12/01/2022,A man of the people,Allan,8,08/01/2022,12/01/2022,A man of the people,oxford,ken walibora,25,900
mstahiki meya,bryant,kobe,male,male,09/01/2022,13/01/2022,16/01/2022,kobe,708613011,kobe@gmail.com,kobe9,kampala,mstahiki meya,kobe,9,09/01/2022,13/01/2022,mstahiki meya,kobe,9,09/01/2022,13/01/2022,mstahiki meya,kICD,ken walibora,26,100
The india story,westbrook,RUssel,male,male,10/01/2022,14/01/2022,17/01/2022,RUssel,708613012,RUssel@gmail.com,RUssel0,kampala,The india story,RUssel,10,10/01/2022,14/01/2022,The india story,RUssel,10,10/01/2022,14/01/2022,The india story,oxford,Bima jalal,27,200
Listen to your heart,love,kevin,female,female,11/01/2022,15/01/2022,18/01/2022,kevin,708613013,kevin@gmail.com,kevin1,kampala,Listen to your heart,kevin,1,11/01/2022,15/01/2022,Listen to your heart,kevin,1,11/01/2022,15/01/2022,Listen to your heart,oxford,Ruskin bond,28,300
Bussiness of sports,jefferson,Richard,female,female,12/01/2022,16/01/2022,19/01/2022,Richard,7086130128,Richard@gmail.com,Richard2,kampala,Bussiness of sports,Richard,2,12/01/2022,16/01/2022,Bussiness of sports,Richard,2,12/01/2022,16/01/2022,Bussiness of sports,foundation,Vinit karnit,29,400
A place called home,monk,malik,female,female,13/01/2022,17/01/2022,20/01/2022,malik,708613064,malik@gmail.com,malik3,kampala,A place called home,malik,3,13/01/2022,17/01/2022,A place called home,malik,3,13/01/2022,17/01/2022,A place called home,fountain,Preeti Shenoy,30,500
dreams meeting delivery,abduljabar,karim,female,female,14/01/2022,18/01/2022,21/01/2022,karim,708613084,karim@gmail.com,karim4,kampala,dreams meetin delivery,karim,4,14/01/2022,18/01/2022,dreams meetin delivery,karim,4,14/01/2022,18/01/2022,dreams meetin delivery,gujrat,VP naidu,31,600
police reform in india,bird,larry,female,female,15/01/2022,19/01/2022,22/01/2022,larry,708673014,larry@gmail.com,larry5,kampala,police reform in india,larry,5,15/01/2022,19/01/2022,police reform in india,larry,5,15/01/2022,19/01/2022,police reform in india,gujrat,prakash singh,32,700
leaders poitician and citizens,johnson,maguc,male,male,16/01/2022,20/01/2022,23/01/2022,maguc,708616014,maguc@gmail.com,maguc6,kampala,leaders poitician and citizen,maguc,6,16/01/2022,20/01/2022,leaders poitician and citizen,maguc,6,16/01/2022,20/01/2022,leaders poitician and citizen,fountain,Rashid kidwai,33,800
crunch time,james,lebron,male,male,17/01/2022,21/01/2022,24/01/2022,lebron,708616014,lebron@gmail.com,lebron7,kampala,crunch time,lebron,7,17/01/2022,21/01/2022,crunch time,lebron,7,17/01/2022,21/01/2022,crunch time,longhorn,sreema chauliahas,34,900
pride prejudice and punditry,anthony,carmelo,male,male,18/01/2022,22/01/2022,25/01/2022,carmelo,708663014,carmelo@gmail.com,carmelo8,kampala,The maverick effect,carmelo,8,18/01/2022,22/01/2022,The maverick effect,carmelo,8,18/01/2022,22/01/2022,The maverick effect,longhorn,shashi jaroor,35,1000
The queen of indian pop,wiggins,andrew,male,male,19/01/2022,23/01/2022,26/01/2022,andrew,708673014,andrew@gmail.com,andrew9,kampala,The queen of indian pop,andrew,9,19/01/2022,23/01/2022,The queen of indian pop,andrew,9,19/01/2022,23/01/2022,The queen of indian pop,nyota,usha uthup,36,100
A nation to protect,green,draymond,male,male,20/01/2022,24/01/2022,27/01/2022,draymond,708673614,draymond@gmail.com,draymond0,kampala,A nation to protect,draymond,10,20/01/2022,24/01/2022,A nation to protect,draymond,10,20/01/2022,24/01/2022,A nation to protect,kenyatta foundation,Ganthi moddy,37,200
my years with rajiv,leornard,Kahwai,male,male,03/01/2022,04/01/2022,10/01/2022,Kahwai,708613914,Kahwai@gmail.com,Kahwai3,kampala,my years with rajiv,Kahwai,11,03/01/2022,04/01/2022,my years with rajiv,Kahwai,11,03/01/2022,04/01/2022,my years with rajiv,longhorn,max millaro,38,300
By many a happy accident,george,paul,male,male,04/01/2022,05/01/2022,121/1/2022,paul,708615014,paul@gmail.com,paul4,kampala,By many a happy accident,paul,1,04/01/2022,05/01/2022,By many a happy accident,paul,1,04/01/2022,05/01/2022,By many a happy accident,jomo kenyatta foundation,Hamid Ansari,39,400
whereabouts,green,danny,female,female,05/01/2022,06/01/2022,11/01/2022,danny,708617014,danny@gmail.com,danny5,kampala,whreabouts,danny,3,05/01/2022,06/01/2022,whreabouts,danny,3,05/01/2022,06/01/2022,whreabouts,jomo kenyatta foundation,Lahiri,340,500
The terrible horrible very bad good news,antetekoumpo,gianiss,male,male,06/01/2022,07/01/2022,12/01/2022,gianiss,708613814,gianiss@gmail.com,gianiss6,kampala,the terrible horrible very bad good news,gianiss,4,06/01/2022,07/01/2022,the terrible horrible very bad good news,gianiss,4,06/01/2022,07/01/2022,the terrible horrible very bad good news,longhorn,meghan pant,41,600
memoir unfinished,oladipo,victor,male,male,07/01/2022,08/01/2022,13/01/2022,victor,708453014,victor@gmail.com,victor7,kampala,memoir unfinished,victor,5,07/01/2022,08/01/2022,memoir unfinished,victor,5,07/01/2022,08/01/2022,memoir unfinished,foundation,chopra,42,700
the ittle book of encouragement,carruso,Alex,male,male,09/01/2022,10/01/2022,14/01/2022,Alex,708613514,Alex@gmail.com,Alex9,kampala,litle book of encouragement,Alex,6,09/01/2022,10/01/2022,litle book of encouragement,Alex,6,09/01/2022,10/01/2022,litle book of encouragement,longhorn,Dalai lama,43,800
race with me,harden,james,male,male,08/01/2022,11/01/2022,15/01/2022,james,708618014,james@gmail.com,james8,kampala,race with me,james,3,08/01/2022,11/01/2022,race with me,james,3,08/01/2022,11/01/2022,race with me,EAC,andre grase,44,900
my experiments with silence,minaj,nicki,female,female,09/01/2022,12/01/2022,16/01/2022,nicki,708613014,nicki@gmail.com,nicki9,kampala,my experience with silence,nicki,2,09/01/2022,12/01/2022,my experience with silence,nicki,2,09/01/2022,12/01/2022,my experience with silence,fountain,samir soni,45,1000
the living mountain,b,cardi,female,female,10/01/2022,13/01/2022,17/01/2022,cardi,708612014,cardi@gmail.com,cardi0,kampala,the living mountain,cardi,5,10/01/2022,13/01/2022,the living mountain,cardi,5,10/01/2022,13/01/2022,the living mountain,longhorn,meghan markle,48,300
exam warrior,lipa,dua,female,female,11/01/2022,14/01/2022,18/01/2022,dua,708613014,dua@gmail.com,dua1,kampala,exam warrior,dua,5,11/01/2022,14/01/2022,exam warrior,dua,5,11/01/2022,14/01/2022,exam warrior,EAC,narendra modi,47,200
the bench,markle,angela,female,female,12/01/2022,15/01/2022,19/01/2022,angela,784567789,angela@gmail.com,angela2,kampala,the bench,angela,6,12/01/2022,15/01/2022,the bench,angela,6,12/01/2022,15/01/2022,the bench,longhorn,meghan markle,48,300
